iter	Passed	Remaining
0	1	122
1	2	113
2	3	109
3	4	106
4	5	104
5	6	103
6	7	101
7	8	100
8	9	100
9	11	99
10	12	98
11	13	96
12	14	95
13	15	94
14	16	92
15	17	91
16	18	90
17	19	88
18	20	87
19	21	86
20	22	85
21	23	84
22	24	82
23	25	81
24	26	80
25	27	79
26	29	79
27	30	79
28	32	78
29	33	78
30	35	78
31	36	77
32	37	76
33	38	74
34	39	73
35	40	72
36	41	71
37	42	69
38	43	68
39	44	67
40	46	66
41	47	65
42	48	63
43	48	62
44	49	60
45	50	59
46	51	58
47	52	57
48	54	56
49	55	55
50	56	54
51	57	52
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	66	44
60	67	43
61	68	41
62	69	40
63	70	39
64	71	38
65	72	37
66	73	36
67	74	35
68	75	34
69	76	32
70	78	31
71	79	30
72	80	29
73	81	28
74	83	27
75	84	26
76	85	25
77	86	24
78	87	23
79	88	22
80	89	21
81	90	19
82	91	18
83	93	17
84	94	16
85	95	15
86	96	14
87	97	13
88	98	12
89	99	11
90	100	9
91	101	8
92	102	7
93	103	6
94	104	5
95	105	4
96	106	3
97	107	2
98	108	1
99	109	0
