iter	Passed	Remaining
0	1	1577
1	2	1482
2	4	1454
3	5	1428
4	7	1461
5	8	1442
6	10	1431
7	11	1421
8	12	1417
9	14	1411
10	15	1406
11	17	1405
12	18	1398
13	19	1394
14	21	1391
15	22	1400
16	24	1396
17	25	1401
18	27	1396
19	28	1391
20	29	1397
21	31	1393
22	32	1391
23	34	1388
24	35	1386
25	36	1382
26	38	1385
27	39	1381
28	41	1379
29	42	1376
30	43	1373
31	45	1369
32	46	1368
33	48	1366
34	49	1362
35	50	1361
36	52	1358
37	53	1359
38	55	1359
39	56	1357
40	57	1354
41	59	1352
42	61	1364
43	62	1364
44	64	1361
45	65	1358
46	66	1357
47	68	1355
48	69	1358
49	71	1358
50	72	1355
51	74	1354
52	75	1351
53	77	1350
54	78	1349
55	79	1347
56	81	1346
57	82	1343
58	84	1341
59	85	1342
60	87	1348
61	89	1346
62	90	1345
63	91	1343
64	93	1340
65	94	1338
66	96	1337
67	97	1335
68	98	1333
69	100	1332
70	101	1332
71	103	1330
72	104	1327
73	106	1326
74	107	1324
75	108	1322
76	110	1320
77	111	1318
78	112	1316
79	114	1313
80	115	1312
81	117	1311
82	117	1302
83	119	1300
84	120	1298
85	122	1296
86	123	1294
87	124	1292
88	126	1291
89	127	1289
90	128	1287
91	130	1285
92	131	1283
93	133	1283
94	134	1281
95	135	1279
96	137	1277
97	138	1275
98	139	1273
99	141	1272
100	142	1270
101	144	1268
102	145	1266
103	146	1265
104	148	1263
105	149	1262
106	151	1260
107	152	1258
108	153	1256
109	155	1255
110	156	1253
111	157	1251
112	159	1249
113	161	1252
114	162	1250
115	164	1250
116	165	1246
117	166	1245
118	167	1243
119	169	1241
120	170	1239
121	171	1235
122	173	1234
123	174	1232
124	175	1230
125	177	1228
126	178	1224
127	180	1228
128	181	1226
129	183	1225
130	184	1223
131	185	1221
132	187	1219
133	188	1217
134	189	1216
135	191	1214
136	192	1213
137	193	1211
138	195	1210
139	196	1209
140	198	1207
141	198	1202
142	200	1200
143	201	1199
144	203	1197
145	204	1196
146	205	1194
147	207	1192
148	208	1191
149	212	1206
150	214	1205
151	215	1203
152	217	1201
153	218	1199
154	219	1198
155	221	1196
156	222	1194
157	223	1192
158	225	1191
159	226	1189
160	227	1185
161	228	1184
162	230	1182
163	231	1181
164	233	1179
165	234	1177
166	235	1176
167	237	1174
168	238	1172
169	239	1171
170	241	1170
171	242	1168
172	244	1168
173	245	1166
174	247	1165
175	248	1164
176	250	1162
177	251	1160
178	252	1159
179	254	1157
180	255	1156
181	256	1154
182	258	1154
183	259	1152
184	261	1151
185	262	1149
186	264	1148
187	265	1148
188	267	1147
189	268	1145
190	270	1144
191	271	1142
192	272	1140
193	274	1139
194	275	1138
195	277	1137
196	278	1135
197	279	1134
198	281	1132
199	282	1130
200	284	1129
201	285	1127
202	286	1126
203	288	1124
204	289	1122
205	291	1121
206	292	1120
207	293	1118
208	295	1117
209	296	1115
210	297	1114
211	299	1112
212	300	1110
213	301	1109
214	303	1107
215	304	1106
216	306	1105
217	307	1103
218	308	1101
219	310	1100
220	311	1098
221	313	1096
222	314	1095
223	315	1093
224	317	1092
225	318	1090
226	319	1088
227	321	1087
228	322	1086
229	324	1084
230	325	1083
231	326	1081
232	328	1079
233	329	1078
234	330	1076
235	332	1075
236	333	1073
237	335	1072
238	336	1071
239	337	1070
240	339	1068
241	340	1066
242	341	1065
243	343	1063
244	344	1062
245	346	1060
246	347	1059
247	348	1057
248	350	1056
249	351	1054
250	352	1052
251	354	1051
252	355	1050
253	357	1048
254	358	1047
255	359	1045
256	361	1043
257	362	1042
258	363	1041
259	365	1040
260	369	1046
261	371	1045
262	372	1044
263	373	1042
264	375	1040
265	376	1039
266	378	1037
267	379	1036
268	381	1035
269	382	1034
270	384	1035
271	386	1034
272	387	1032
273	389	1031
274	390	1030
275	392	1028
276	393	1027
277	394	1025
278	396	1024
279	397	1022
280	399	1021
281	401	1021
282	402	1020
283	404	1018
284	405	1017
285	406	1015
286	408	1014
287	409	1012
288	411	1011
289	412	1009
290	413	1008
291	415	1006
292	416	1005
293	418	1004
294	419	1002
295	421	1001
296	422	1000
297	423	998
298	425	997
299	426	995
300	428	994
301	429	993
302	431	991
303	432	991
304	434	989
305	435	987
306	437	986
307	438	984
308	439	983
309	441	981
310	442	980
311	443	978
312	445	977
313	446	976
314	448	975
315	449	973
316	451	972
317	452	970
318	453	968
319	455	967
320	456	966
321	458	964
322	459	963
323	460	961
324	462	960
325	464	959
326	465	958
327	466	956
328	468	954
329	469	953
330	470	951
331	472	950
332	473	948
333	475	947
334	476	945
335	477	944
336	479	942
337	480	941
338	482	939
339	483	938
340	484	936
341	486	935
342	487	933
343	488	932
344	490	930
345	491	929
346	492	927
347	494	926
348	495	924
349	497	923
350	498	921
351	499	920
352	501	918
353	502	917
354	503	915
355	505	913
356	506	912
357	507	910
358	509	909
359	510	907
360	512	906
361	513	905
362	515	903
363	516	902
364	517	900
365	519	899
366	520	897
367	521	896
368	523	894
369	524	893
370	526	892
371	527	890
372	528	889
373	530	887
374	531	886
375	533	884
376	534	883
377	535	881
378	537	879
379	538	878
380	539	876
381	541	875
382	542	874
383	544	872
384	545	871
385	546	869
386	548	868
387	549	866
388	550	865
389	552	863
390	553	862
391	555	860
392	556	859
393	557	858
394	559	856
395	560	855
396	561	853
397	563	852
398	564	850
399	566	849
400	567	847
401	568	846
402	570	844
403	571	843
404	575	845
405	577	844
406	578	843
407	580	841
408	581	840
409	582	838
410	625	896
411	628	896
412	629	895
413	655	927
414	667	940
415	669	940
416	670	938
417	673	937
418	674	935
419	676	934
420	677	932
421	679	930
422	681	928
423	682	927
424	684	926
425	686	924
426	688	924
427	690	922
428	691	920
429	694	921
430	696	919
431	697	917
432	699	915
433	700	913
434	701	911
435	703	909
436	706	910
437	708	908
438	709	906
439	710	904
440	712	902
441	713	900
442	714	898
443	716	896
444	717	894
445	718	893
446	720	891
447	722	889
448	723	887
449	724	885
450	726	883
451	727	882
452	728	880
453	730	878
454	731	876
455	733	874
456	734	872
457	736	871
458	737	869
459	738	867
460	740	865
461	741	863
462	742	861
463	744	859
464	745	857
465	746	855
466	748	853
467	749	852
468	750	850
469	752	848
470	753	846
471	755	844
472	756	842
473	757	840
474	759	839
475	760	837
476	761	835
477	763	833
478	764	831
479	766	829
480	767	828
481	769	826
482	770	824
483	771	822
484	773	821
485	774	819
486	776	817
487	777	815
488	779	814
489	782	814
490	784	813
491	786	811
492	787	809
493	789	808
494	790	806
495	791	804
496	793	802
497	795	802
498	797	800
499	799	799
500	801	798
501	802	796
502	804	794
503	805	792
504	806	790
505	808	789
506	809	787
507	811	785
508	812	783
509	813	781
510	815	780
511	817	779
512	819	777
513	820	775
514	821	774
515	823	772
516	824	770
517	826	768
518	827	766
519	828	765
520	830	763
521	831	761
522	833	759
523	834	758
524	835	756
525	837	754
526	838	752
527	839	750
528	841	749
529	842	747
530	844	745
531	845	743
532	846	742
533	848	740
534	849	738
535	850	736
536	852	734
537	857	736
538	858	734
539	859	732
540	861	730
541	862	728
542	864	727
543	865	725
544	866	723
545	868	721
546	869	720
547	870	718
548	872	716
549	873	714
550	875	713
551	876	711
552	878	710
553	879	708
554	881	706
555	882	704
556	883	702
557	885	701
558	886	699
559	888	697
560	889	696
561	890	694
562	892	692
563	893	690
564	895	689
565	896	687
566	897	685
567	899	683
568	900	682
569	901	680
570	903	678
571	904	676
572	905	675
573	907	673
574	908	671
575	910	670
576	911	668
577	913	666
578	914	664
579	915	663
580	917	661
581	919	660
582	920	658
583	921	656
584	923	655
585	924	653
586	926	651
587	927	649
588	929	648
589	930	646
590	931	644
591	933	643
592	934	641
593	935	639
594	937	637
595	938	636
596	939	634
597	941	632
598	942	631
599	944	629
600	945	627
601	946	625
602	948	624
603	950	622
604	951	621
605	952	619
606	954	617
607	955	616
608	957	614
609	958	612
610	959	611
611	961	609
612	962	607
613	963	606
614	965	604
615	966	602
616	968	601
617	969	599
618	970	597
619	972	596
620	973	594
621	975	592
622	976	590
623	977	589
624	979	587
625	980	585
626	982	584
627	983	582
628	984	580
629	986	579
630	987	577
631	988	575
632	990	574
633	991	572
634	993	570
635	994	569
636	995	567
637	997	565
638	998	564
639	999	562
640	1001	560
641	1002	559
642	1004	557
643	1005	555
644	1007	554
645	1008	552
646	1009	551
647	1011	549
648	1012	547
649	1014	546
650	1015	544
651	1016	542
652	1018	541
653	1019	539
654	1021	537
655	1022	536
656	1023	534
657	1025	532
658	1026	531
659	1027	529
660	1029	527
661	1030	526
662	1031	524
663	1033	522
664	1034	521
665	1036	519
666	1037	517
667	1038	516
668	1040	514
669	1041	513
670	1043	511
671	1044	509
672	1045	508
673	1047	506
674	1048	504
675	1049	503
676	1051	501
677	1052	500
678	1054	498
679	1055	496
680	1057	495
681	1058	493
682	1059	491
683	1061	490
684	1062	488
685	1063	486
686	1065	485
687	1066	483
688	1068	482
689	1069	480
690	1070	478
691	1072	477
692	1073	475
693	1074	473
694	1076	472
695	1077	470
696	1079	469
697	1080	467
698	1081	465
699	1083	464
700	1084	462
701	1085	460
702	1087	459
703	1088	457
704	1090	456
705	1091	454
706	1092	452
707	1094	451
708	1095	449
709	1096	448
710	1098	446
711	1099	444
712	1101	443
713	1102	441
714	1103	439
715	1105	438
716	1106	436
717	1107	435
718	1109	433
719	1110	431
720	1111	430
721	1113	428
722	1114	427
723	1116	425
724	1117	423
725	1118	422
726	1120	420
727	1121	419
728	1123	417
729	1124	415
730	1125	414
731	1127	412
732	1128	411
733	1129	409
734	1131	407
735	1132	406
736	1133	404
737	1135	403
738	1136	401
739	1138	399
740	1139	398
741	1140	396
742	1142	395
743	1143	393
744	1144	391
745	1146	390
746	1147	388
747	1149	387
748	1150	385
749	1151	383
750	1153	382
751	1154	380
752	1156	379
753	1157	377
754	1158	375
755	1160	374
756	1161	372
757	1162	371
758	1164	369
759	1165	368
760	1166	366
761	1168	364
762	1169	363
763	1171	361
764	1172	360
765	1173	358
766	1175	356
767	1178	355
768	1180	354
769	1218	363
770	1219	362
771	1221	360
772	1222	358
773	1223	357
774	1225	355
775	1226	354
776	1228	352
777	1229	350
778	1230	349
779	1232	347
780	1233	345
781	1234	344
782	1236	342
783	1237	340
784	1239	339
785	1240	337
786	1241	336
787	1243	334
788	1244	332
789	1246	331
790	1247	329
791	1248	327
792	1250	326
793	1251	324
794	1253	323
795	1254	321
796	1255	319
797	1257	318
798	1258	316
799	1260	315
800	1261	313
801	1263	311
802	1264	310
803	1266	308
804	1267	307
805	1269	305
806	1270	303
807	1271	302
808	1273	300
809	1274	299
810	1276	297
811	1277	295
812	1282	295
813	1284	293
814	1286	291
815	1288	290
816	1292	289
817	1293	287
818	1294	286
819	1296	284
820	1297	282
821	1299	281
822	1301	279
823	1304	278
824	1308	277
825	1310	276
826	1312	274
827	1314	272
828	1316	271
829	1317	269
830	1319	268
831	1323	267
832	1325	265
833	1326	264
834	1328	262
835	1330	260
836	1331	259
837	1338	258
838	1339	257
839	1340	255
840	1352	255
841	1353	253
842	1355	252
843	1356	250
844	1359	249
845	1361	247
846	1362	246
847	1365	244
848	1373	244
849	1375	242
850	1376	241
851	1379	239
852	1380	237
853	1382	236
854	1383	234
855	1384	232
856	1386	231
857	1387	229
858	1388	227
859	1390	226
860	1391	224
861	1392	222
862	1395	221
863	1396	219
864	1397	218
865	1399	216
866	1400	214
867	1402	213
868	1403	211
869	1425	213
870	1428	211
871	1429	209
872	1430	208
873	1432	206
874	1433	204
875	1435	203
876	1436	201
877	1437	199
878	1439	198
879	1440	196
880	1441	194
881	1443	193
882	1444	191
883	1446	189
884	1447	188
885	1448	186
886	1450	184
887	1451	183
888	1453	181
889	1454	179
890	1455	178
891	1457	176
892	1458	174
893	1460	173
894	1461	171
895	1462	169
896	1464	168
897	1465	166
898	1467	164
899	1468	163
900	1469	161
901	1471	159
902	1472	158
903	1474	156
904	1475	154
905	1476	153
906	1478	151
907	1479	149
908	1480	148
909	1482	146
910	1483	144
911	1484	143
912	1486	141
913	1487	139
914	1489	138
915	1490	136
916	1491	135
917	1493	133
918	1494	131
919	1496	130
920	1497	128
921	1498	126
922	1500	125
923	1501	123
924	1502	121
925	1504	120
926	1506	118
927	1507	116
928	1509	115
929	1510	113
930	1511	112
931	1513	110
932	1514	108
933	1516	107
934	1519	105
935	1520	103
936	1522	102
937	1524	100
938	1525	99
939	1527	97
940	1530	95
941	1532	94
942	1533	92
943	1534	91
944	1537	89
945	1538	87
946	1540	86
947	1542	84
948	1544	82
949	1545	81
950	1547	79
951	1548	78
952	1550	76
953	1553	74
954	1555	73
955	1556	71
956	1558	70
957	1559	68
958	1560	66
959	1562	65
960	1563	63
961	1564	61
962	1566	60
963	1570	58
964	1571	57
965	1581	55
966	1582	54
967	1585	52
968	1587	50
969	1588	49
970	1590	47
971	1591	45
972	1593	44
973	1597	42
974	1599	41
975	1601	39
976	1602	37
977	1604	36
978	1605	34
979	1606	32
980	1608	31
981	1609	29
982	1611	27
983	1612	26
984	1613	24
985	1615	22
986	1616	21
987	1618	19
988	1619	18
989	1621	16
990	1622	14
991	1623	13
992	1625	11
993	1626	9
994	1628	8
995	1629	6
996	1630	4
997	1632	3
998	1633	1
999	1635	0
